_time,host,source,sourcetype,user,src_ip,action,command,bytes_out,message
2024-01-14T00:01:00,fw-core-01,firewall,firewall,,10.10.1.115,permit,,59425,PERMIT src=10.10.1.115 dst=8.8.39.80 proto=TCP dport=443 bytes_out=59425
2024-01-14T00:07:00,fw-core-01,firewall,firewall,,10.10.1.33,permit,,70860,PERMIT src=10.10.1.33 dst=8.8.13.159 proto=TCP dport=443 bytes_out=70860
2024-01-14T00:08:00,fw-core-01,firewall,firewall,,10.10.1.125,permit,,73026,PERMIT src=10.10.1.125 dst=8.8.49.80 proto=TCP dport=443 bytes_out=73026
2024-01-14T00:09:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,70936,PERMIT src=10.10.1.22 dst=8.8.28.177 proto=TCP dport=443 bytes_out=70936
2024-01-14T00:11:00,fw-core-01,firewall,firewall,,10.10.1.11,permit,,64112,PERMIT src=10.10.1.11 dst=8.8.10.63 proto=TCP dport=8080 bytes_out=64112
2024-01-14T00:13:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,69245,PERMIT src=10.10.1.66 dst=8.8.48.187 proto=TCP dport=80 bytes_out=69245
2024-01-14T00:15:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,73343,PERMIT src=10.10.1.99 dst=8.8.29.19 proto=TCP dport=80 bytes_out=73343
2024-01-14T00:18:00,fw-core-01,firewall,firewall,,10.10.1.88,permit,,60609,PERMIT src=10.10.1.88 dst=8.8.2.45 proto=TCP dport=443 bytes_out=60609
2024-01-14T00:20:00,fw-core-01,firewall,firewall,,10.10.1.77,permit,,70954,PERMIT src=10.10.1.77 dst=8.8.39.249 proto=TCP dport=80 bytes_out=70954
2024-01-14T00:26:00,fw-core-01,firewall,firewall,,10.10.1.44,permit,,55391,PERMIT src=10.10.1.44 dst=8.8.17.234 proto=TCP dport=443 bytes_out=55391
2024-01-14T00:26:00,fw-core-01,firewall,firewall,,10.10.1.55,permit,,70923,PERMIT src=10.10.1.55 dst=8.8.24.28 proto=TCP dport=8080 bytes_out=70923
2024-01-14T00:26:00,fw-core-01,firewall,firewall,,10.10.1.105,permit,,64860,PERMIT src=10.10.1.105 dst=8.8.26.107 proto=TCP dport=8080 bytes_out=64860
2024-01-14T01:27:00,fw-core-01,firewall,firewall,,10.10.1.11,permit,,70260,PERMIT src=10.10.1.11 dst=1.1.5.221 proto=TCP dport=443 bytes_out=70260
2024-01-14T03:01:00,fw-core-01,firewall,firewall,,10.10.1.77,permit,,60928,PERMIT src=10.10.1.77 dst=8.8.16.254 proto=TCP dport=80 bytes_out=60928
2024-01-14T03:01:00,fw-core-01,firewall,firewall,,10.10.1.88,permit,,54153,PERMIT src=10.10.1.88 dst=8.8.48.108 proto=TCP dport=8080 bytes_out=54153
2024-01-14T03:03:00,fw-core-01,firewall,firewall,,10.10.1.105,permit,,60241,PERMIT src=10.10.1.105 dst=8.8.28.81 proto=TCP dport=8080 bytes_out=60241
2024-01-14T03:03:00,fw-core-01,firewall,firewall,,10.10.1.115,permit,,68937,PERMIT src=10.10.1.115 dst=8.8.33.55 proto=TCP dport=80 bytes_out=68937
2024-01-14T03:07:00,fw-core-01,firewall,firewall,,10.10.1.55,permit,,65449,PERMIT src=10.10.1.55 dst=8.8.2.159 proto=TCP dport=8080 bytes_out=65449
2024-01-14T03:10:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,69932,PERMIT src=10.10.1.99 dst=8.8.10.17 proto=TCP dport=80 bytes_out=69932
2024-01-14T03:11:00,fw-core-01,firewall,firewall,,10.10.1.125,permit,,50200,PERMIT src=10.10.1.125 dst=8.8.12.223 proto=TCP dport=80 bytes_out=50200
2024-01-14T03:13:00,fw-core-01,firewall,firewall,,10.10.1.11,permit,,68544,PERMIT src=10.10.1.11 dst=8.8.44.203 proto=TCP dport=80 bytes_out=68544
2024-01-14T03:14:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,59899,PERMIT src=10.10.1.22 dst=8.8.13.99 proto=TCP dport=443 bytes_out=59899
2024-01-14T03:21:00,fw-core-01,firewall,firewall,,10.10.1.33,permit,,74758,PERMIT src=10.10.1.33 dst=8.8.47.197 proto=TCP dport=8080 bytes_out=74758
2024-01-14T03:28:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,63594,PERMIT src=10.10.1.66 dst=8.8.42.26 proto=TCP dport=443 bytes_out=63594
2024-01-14T03:30:00,fw-core-01,firewall,firewall,,10.10.1.44,permit,,59671,PERMIT src=10.10.1.44 dst=8.8.48.223 proto=TCP dport=443 bytes_out=59671
2024-01-14T04:28:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,71462,PERMIT src=10.10.1.22 dst=1.1.29.162 proto=TCP dport=443 bytes_out=71462
2024-01-14T05:04:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,24945,PERMIT src=10.10.1.99 dst=1.1.34.131 proto=TCP dport=443 bytes_out=24945
2024-01-14T06:03:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,57772,PERMIT src=10.10.1.22 dst=8.8.25.147 proto=TCP dport=443 bytes_out=57772
2024-01-14T06:03:00,fw-core-01,firewall,firewall,,10.10.1.88,permit,,74433,PERMIT src=10.10.1.88 dst=8.8.5.122 proto=TCP dport=443 bytes_out=74433
2024-01-14T06:05:00,fw-core-01,firewall,firewall,,10.10.1.11,permit,,55736,PERMIT src=10.10.1.11 dst=8.8.6.157 proto=TCP dport=443 bytes_out=55736
2024-01-14T06:08:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,70457,PERMIT src=10.10.1.99 dst=8.8.41.150 proto=TCP dport=8080 bytes_out=70457
2024-01-14T06:08:00,fw-core-01,firewall,firewall,,10.10.1.105,permit,,62265,PERMIT src=10.10.1.105 dst=8.8.10.176 proto=TCP dport=443 bytes_out=62265
2024-01-14T06:10:00,fw-core-01,firewall,firewall,,10.10.1.55,permit,,69991,PERMIT src=10.10.1.55 dst=8.8.15.166 proto=TCP dport=80 bytes_out=69991
2024-01-14T06:18:00,fw-core-01,firewall,firewall,,10.10.1.125,permit,,71539,PERMIT src=10.10.1.125 dst=8.8.26.18 proto=TCP dport=80 bytes_out=71539
2024-01-14T06:19:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,63373,PERMIT src=10.10.1.66 dst=8.8.18.9 proto=TCP dport=8080 bytes_out=63373
2024-01-14T06:19:00,fw-core-01,firewall,firewall,,10.10.1.44,permit,,27987,PERMIT src=10.10.1.44 dst=1.1.49.66 proto=TCP dport=443 bytes_out=27987
2024-01-14T06:21:00,fw-core-01,firewall,firewall,,10.10.1.33,permit,,54481,PERMIT src=10.10.1.33 dst=8.8.41.25 proto=TCP dport=8080 bytes_out=54481
2024-01-14T06:21:00,fw-core-01,firewall,firewall,,10.10.1.115,permit,,65800,PERMIT src=10.10.1.115 dst=8.8.15.217 proto=TCP dport=80 bytes_out=65800
2024-01-14T06:25:00,fw-core-01,firewall,firewall,,10.10.1.44,permit,,53773,PERMIT src=10.10.1.44 dst=8.8.30.247 proto=TCP dport=80 bytes_out=53773
2024-01-14T06:25:00,fw-core-01,firewall,firewall,,10.10.1.77,permit,,68500,PERMIT src=10.10.1.77 dst=8.8.14.18 proto=TCP dport=8080 bytes_out=68500
2024-01-14T06:57:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,56019,PERMIT src=10.10.1.66 dst=1.1.47.246 proto=TCP dport=443 bytes_out=56019
2024-01-14T07:21:49,auth-prod-02,/var/log/secure,linux_secure,lena.wolf,172.16.11.190,accepted,,,Accepted password for lena.wolf from 172.16.11.190 port 54014
2024-01-14T07:32:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,56421,PERMIT src=10.10.1.99 dst=1.1.5.102 proto=TCP dport=443 bytes_out=56421
2024-01-14T07:39:47,auth-prod-02,/var/log/secure,linux_secure,samir.khan,172.16.41.55,accepted,,,Accepted password for samir.khan from 172.16.41.55 port 45146
2024-01-14T07:45:34,auth-prod-01,/var/log/secure,linux_secure,lena.wolf,172.16.3.250,accepted,,,Accepted password for lena.wolf from 172.16.3.250 port 62852
2024-01-14T07:47:20,ldap-01,/var/log/secure,linux_secure,alice.chen,172.16.38.123,failed,,,Failed password for alice.chen from 172.16.38.123 port 57403
2024-01-14T08:02:00,fw-dmz-01,firewall,firewall,,10.0.0.42,permit,,60171,PERMIT src=10.0.0.42 dst=8.8.30.116 proto=TCP dport=443 bytes_out=60171
2024-01-14T08:05:24,auth-prod-02,/var/log/secure,linux_secure,tom.hardy,172.16.23.155,accepted,,,Accepted password for tom.hardy from 172.16.23.155 port 63911
2024-01-14T08:12:00,fw-core-01,firewall,firewall,,10.10.1.33,permit,,30036,PERMIT src=10.10.1.33 dst=1.1.49.195 proto=TCP dport=443 bytes_out=30036
2024-01-14T08:56:16,auth-prod-01,/var/log/secure,linux_secure,carol.white,172.16.17.10,accepted,,,Accepted password for carol.white from 172.16.17.10 port 51327
2024-01-14T09:01:00,fw-dmz-01,firewall,firewall,,10.0.0.42,permit,,51864,PERMIT src=10.0.0.42 dst=8.8.24.213 proto=TCP dport=443 bytes_out=51864
2024-01-14T09:02:00,fw-core-01,firewall,firewall,,10.10.1.105,permit,,52989,PERMIT src=10.10.1.105 dst=8.8.6.24 proto=TCP dport=443 bytes_out=52989
2024-01-14T09:03:32,auth-prod-01,/var/log/secure,linux_secure,diana.prince,172.16.5.153,accepted,,,Accepted password for diana.prince from 172.16.5.153 port 47707
2024-01-14T09:04:00,fw-core-01,firewall,firewall,,10.10.1.44,permit,,74712,PERMIT src=10.10.1.44 dst=8.8.15.221 proto=TCP dport=8080 bytes_out=74712
2024-01-14T09:04:03,ldap-01,/var/log/secure,linux_secure,lena.wolf,172.16.39.192,failed,,,Failed password for lena.wolf from 172.16.39.192 port 54390
2024-01-14T09:06:00,fw-core-01,firewall,firewall,,10.10.1.77,permit,,69214,PERMIT src=10.10.1.77 dst=8.8.14.209 proto=TCP dport=80 bytes_out=69214
2024-01-14T09:11:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,57119,PERMIT src=10.10.1.66 dst=8.8.29.114 proto=TCP dport=80 bytes_out=57119
2024-01-14T09:11:00,fw-core-01,firewall,firewall,,10.10.1.115,permit,,68227,PERMIT src=10.10.1.115 dst=8.8.24.30 proto=TCP dport=443 bytes_out=68227
2024-01-14T09:15:50,srv-app-02,/var/log/auth.log,linux_secure,alice.chen,,sudo,/usr/bin/passwd,,alice.chen : TTY=pts/0 ; PWD=/home/alice ; USER=root ; COMMAND=/usr/bin/passwd
2024-01-14T09:18:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,59695,PERMIT src=10.10.1.22 dst=8.8.45.76 proto=TCP dport=80 bytes_out=59695
2024-01-14T09:19:00,fw-core-01,firewall,firewall,,10.10.1.11,permit,,72384,PERMIT src=10.10.1.11 dst=8.8.16.128 proto=TCP dport=8080 bytes_out=72384
2024-01-14T09:20:00,fw-core-01,firewall,firewall,,10.10.1.33,permit,,51291,PERMIT src=10.10.1.33 dst=8.8.20.202 proto=TCP dport=443 bytes_out=51291
2024-01-14T09:20:00,fw-core-01,firewall,firewall,,10.10.1.55,permit,,65213,PERMIT src=10.10.1.55 dst=8.8.45.78 proto=TCP dport=8080 bytes_out=65213
2024-01-14T09:20:00,fw-core-01,firewall,firewall,,10.10.1.22,permit,,11013,PERMIT src=10.10.1.22 dst=1.1.32.192 proto=TCP dport=443 bytes_out=11013
2024-01-14T09:22:00,fw-core-01,firewall,firewall,,10.10.1.99,permit,,60655,PERMIT src=10.10.1.99 dst=8.8.25.153 proto=TCP dport=8080 bytes_out=60655
2024-01-14T09:23:00,fw-core-01,firewall,firewall,,10.10.1.125,permit,,70747,PERMIT src=10.10.1.125 dst=8.8.2.24 proto=TCP dport=8080 bytes_out=70747
2024-01-14T09:24:00,fw-core-01,firewall,firewall,,10.10.1.88,permit,,61863,PERMIT src=10.10.1.88 dst=8.8.33.152 proto=TCP dport=80 bytes_out=61863
2024-01-14T09:30:42,ldap-01,/var/log/secure,linux_secure,carol.white,172.16.14.120,accepted,,,Accepted password for carol.white from 172.16.14.120 port 52087
2024-01-14T09:38:38,ldap-01,/var/log/secure,linux_secure,diana.prince,172.16.20.28,accepted,,,Accepted password for diana.prince from 172.16.20.28 port 50222
2024-01-14T09:47:00,fw-core-01,firewall,firewall,,10.10.1.66,permit,,39041,PERMIT src=10.10.1.66 dst=1.1.22.200 proto=TCP dport=443 bytes_out=39041
2024-01-14T09:50:00,fw-core-01,firewall,firewall,,10.10.1.55,permit,,17362,PERMIT src=10.10.1.55 dst=1.1.23.130 proto=TCP dport=443 bytes_out=17362
2024-01-14T09:50:44,auth-prod-02,/var/log/secure,linux_secure,nadia.ali,172.16.3.220,accepted,,,Accepted password for nadia.ali from 172.16.3.220 port 55083
2024-01-14T10:00:04,auth-prod-01,/var/log/secure,linux_secure,samir.khan,172.16.5.232,accepted,,,Accepted password for samir.khan from 172.16.5.232 port 42321
2024-01-14T10:03:15,auth-prod-01,/var/log/secure,linux_secure,marco.rossi,172.16.47.125,failed,,,Failed password for marco.rossi from 172.16.47.125 port 57455
2024-01-14T10:09:00,fw-dmz-01,firewall,firewall,,10.0.0.42,permit,,52514,PERMIT src=10.0.0.42 dst=8.8.42.222 proto=TCP dport=443 bytes_out=52514
2024-01-14T10:10:00,fw-core-01,firewall,firewall,,10.10.1.105,permit,,70305,PERMIT src=10.10.1.105 dst=1.1.45.236 proto=TCP dport=443 bytes_out=70305
2024-01-14T10:11:35,auth-prod-02,/var/log/secure,linux_secure,diana.prince,172.16.1.105,accepted,,,Accepted password for diana.prince from 172.16.1.105 port 55398
2024-01-14T10:29:35,ldap-01,/var/log/secure,linux_secure,nadia.ali,172.16.13.236,accepted,,,Accepted password for nadia.ali from 172.16.13.236 port 44473
2024-01-14T10:36:00,fw-core-01,firewall,firewall,,10.10.1.77,permit,,63008,PERMIT src=10.10.1.77 dst=1.1.46.164 proto=TCP dport=443 bytes_out=63008
2024-01-14T10:41:04,auth-prod-01,/var/log/secure,linux_secure,alice.chen,172.16.16.52,accepted,,,Accepted password for alice.chen from 172.16.16.52 port 47816
2024-01-14T10:43:19,auth-prod-01,/var/log/secure,linux_secure,samir.khan,172.16.10.7,accepted,,,Accepted password for samir.khan from 172.16.10.7 port 55569
2024-01-14T10:53:59,auth-prod-02,/var/log/secure,linux_secure,lena.wolf,172.16.29.63,accepted,,,Accepted password for lena.wolf from 172.16.29.63 port 61895
