# NetFlow v5 text export — generated by nfdump
# Format: date_flow_start, duration_sec, protocol, src_ip, src_port, dst_ip, dst_port, tcp_flags, tos, packets, bytes, flows
# Generated: 2024-01-15 14:00:00 UTC to 2024-01-15 15:00:00 UTC
# Exporter: fw-corp-01 (10.0.0.1)
#
# Date flow start,         Duration, Proto, Src IP Addr:Port,        Dst IP Addr:Port,       Flags, Tos, Packets,    Bytes, Flows
2024-01-15 14:00:01.123,       0.35,   UDP, 10.10.1.50:52341     ->  8.8.8.8:53,            ......,   0,       1,      56,     1
2024-01-15 14:00:01.458,       0.12,   UDP, 8.8.8.8:53           -> 10.10.1.50:52341,        ......,   0,       1,      72,     1
2024-01-15 14:00:04.001,       1.23,   TCP, 10.10.1.50:55211     -> 93.184.216.34:443,       .AP...,   0,      18,    4512,     1
2024-01-15 14:00:04.001,       1.23,   TCP, 93.184.216.34:443    -> 10.10.1.50:55211,        .AP...,   0,      25,   38291,     1
2024-01-15 14:00:15.000,       0.00,   TCP, 203.0.113.50:54321   -> 10.0.0.1:22,             .S....,  0,       1,      60,     1
2024-01-15 14:00:16.000,       0.00,   TCP, 203.0.113.50:54322   -> 10.0.0.1:22,             .S....,  0,       1,      60,     1
2024-01-15 14:00:17.000,       0.00,   TCP, 203.0.113.50:54323   -> 10.0.0.1:22,             .S....,  0,       1,      60,     1
2024-01-15 14:00:18.000,       0.00,   TCP, 203.0.113.50:54324   -> 10.0.0.1:22,             .S....,  0,       1,      60,     1
2024-01-15 14:00:19.000,       0.00,   TCP, 203.0.113.50:54325   -> 10.0.0.1:22,             .S....,  0,       1,      60,     1
2024-01-15 14:01:10.555,      60.22,   TCP, 10.10.5.23:55443     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:01:10.555,      60.22,   TCP, 185.220.101.50:443   -> 10.10.5.23:55443,        .AP...,   0,      14,     768,     1
2024-01-15 14:02:10.601,      60.19,   TCP, 10.10.5.23:55444     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:02:10.601,      60.19,   TCP, 185.220.101.50:443   -> 10.10.5.23:55444,        .AP...,   0,      14,     768,     1
2024-01-15 14:03:10.712,      60.21,   TCP, 10.10.5.23:55445     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:03:10.712,      60.21,   TCP, 185.220.101.50:443   -> 10.10.5.23:55445,        .AP...,   0,      14,     768,     1
2024-01-15 14:04:10.334,      60.23,   TCP, 10.10.5.23:55446     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:04:10.334,      60.23,   TCP, 185.220.101.50:443   -> 10.10.5.23:55446,        .AP...,   0,      14,     768,     1
2024-01-15 14:05:10.891,      60.18,   TCP, 10.10.5.23:55447     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:05:10.891,      60.18,   TCP, 185.220.101.50:443   -> 10.10.5.23:55447,        .AP...,   0,      14,     768,     1
2024-01-15 14:06:10.445,      60.20,   TCP, 10.10.5.23:55448     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:06:10.445,      60.20,   TCP, 185.220.101.50:443   -> 10.10.5.23:55448,        .AP...,   0,      14,     768,     1
2024-01-15 14:07:10.123,      60.22,   TCP, 10.10.5.23:55449     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:07:10.123,      60.22,   TCP, 185.220.101.50:443   -> 10.10.5.23:55449,        .AP...,   0,      14,     768,     1
2024-01-15 14:08:10.567,      60.21,   TCP, 10.10.5.23:55450     -> 185.220.101.50:443,      .AP...,   0,      12,     512,     1
2024-01-15 14:08:10.567,      60.21,   TCP, 185.220.101.50:443   -> 10.10.5.23:55450,        .AP...,   0,      14,     768,     1
2024-01-15 14:30:00.001,       0.00,   TCP, 198.51.100.22:63421  -> 10.10.1.20:3389,         .S....,   0,       1,      40,     1
2024-01-15 14:30:01.002,       0.00,   TCP, 198.51.100.22:63422  -> 10.10.1.20:3389,         .S....,   0,       1,      40,     1
2024-01-15 14:30:15.100,      30.00,   TCP, 10.10.3.100:50500    -> 52.1.2.3:443,            UAPRSF,   0,    2847, 4198305,     1
2024-01-15 14:45:00.000,       2.12,   TCP, 10.10.1.50:58901     -> 10.10.1.1:445,           .AP...,   0,      45,   45234,     1
2024-01-15 14:46:00.100,      18.44,   TCP, 10.10.1.100:55001    -> 10.10.2.200:3389,        .AP...,   0,    3421,  891234,     1
2024-01-15 14:50:12.234,       0.34,   UDP, 10.10.2.5:51234      -> 8.8.8.8:53,              ......,   0,       1,     124,     1
2024-01-15 14:50:12.234,       0.34,   UDP, 10.10.2.5:51235      -> 8.8.8.8:53,              ......,   0,       1,     124,     1
2024-01-15 14:50:12.234,       0.34,   UDP, 10.10.2.5:51236      -> 8.8.8.8:53,              ......,   0,       1,     124,     1
